date,foundation_model,lower,upper
2016-05-13 19:00:00,174.80447,103.963715,307.32785
2016-05-13 20:00:00,120.13728,73.70575,229.87297
2016-05-13 21:00:00,87.08914,59.922157,169.25198
2016-05-13 22:00:00,71.17756,54.708324,126.42817
2016-05-13 23:00:00,60.146904,50.844536,100.69114
2016-05-14 00:00:00,55.363693,48.219387,86.98526
2016-05-14 01:00:00,56.072155,48.783543,85.999756
2016-05-14 02:00:00,52.626152,46.077023,82.89251
2016-05-14 03:00:00,50.89327,43.524036,83.83306
2016-05-14 04:00:00,52.17518,43.532192,89.88408
2016-05-14 05:00:00,51.864357,41.81827,95.73855
2016-05-14 06:00:00,57.200882,42.34562,116.81148
2016-05-14 07:00:00,78.51798,48.03321,164.8248
2016-05-14 08:00:00,123.65141,66.35559,244.769
2016-05-14 09:00:00,164.2943,84.61519,319.8374
2016-05-14 10:00:00,194.72086,100.24784,377.08414
2016-05-14 11:00:00,200.48743,96.35294,393.59494
2016-05-14 12:00:00,177.9332,86.85605,367.70883
2016-05-14 13:00:00,156.6449,80.76712,334.15363
2016-05-14 14:00:00,139.1827,72.65173,301.99234
2016-05-14 15:00:00,126.32175,65.09343,286.04102
2016-05-14 16:00:00,153.30733,77.77327,319.37753
2016-05-14 17:00:00,174.90498,89.32654,339.67776
2016-05-14 18:00:00,152.49168,84.62277,300.88614
