p,d,q,P,D,Q,s,order,seasonal_order,aic,bic,hqic,llf,nobs,converged,error,fit_seconds
6,0,3,0,0,0,0,"(6, 0, 3)","(0, 0, 0, 0)",32967.31899646795,33033.19670125435,32991.036115317314,-16472.659498233974,2954,True,,9.75
5,0,3,0,0,0,0,"(5, 0, 3)","(0, 0, 0, 0)",32972.11411567328,33032.00632976143,32993.67598185977,-16476.05705783664,2954,True,,10.13
5,0,4,0,0,0,0,"(5, 0, 4)","(0, 0, 0, 0)",32973.5296806825,33039.411116179464,32997.247733487646,-16475.76484034125,2954,True,,15.44
6,1,6,0,0,0,0,"(6, 1, 6)","(0, 0, 0, 0)",33004.92289463553,33082.769541396825,33032.950008115826,-16489.461447317764,2954,True,,30.66
5,0,6,0,0,0,0,"(5, 0, 6)","(0, 0, 0, 0)",33010.98200923021,33088.8330680058,33039.01022731946,-16492.491004615105,2954,True,,16.87
3,1,6,0,0,0,0,"(3, 1, 6)","(0, 0, 0, 0)",33012.32540462762,33072.20744059784,33033.884722689385,-16496.16270231381,2954,True,,14.55
6,0,5,0,0,0,0,"(6, 0, 5)","(0, 0, 0, 0)",33014.75464367254,33092.61011296556,33042.783965949064,-16494.37732183627,2954,True,,15.8
4,1,6,0,0,0,0,"(4, 1, 6)","(0, 0, 0, 0)",33014.802284878184,33080.672524445436,33038.517534746126,-16496.401142439092,2954,True,,19.69
6,0,6,0,0,0,0,"(6, 0, 6)","(0, 0, 0, 0)",33016.06927444241,33099.90887620074,33046.253509307746,-16494.034637221204,2954,True,,17.44
6,1,2,0,0,0,0,"(6, 1, 2)","(0, 0, 0, 0)",33017.58358460717,33071.48047145181,33036.98773559203,-16499.791792303586,2954,True,,13.16
1,1,6,0,0,0,0,"(1, 1, 6)","(0, 0, 0, 0)",33021.529406884714,33069.43503566089,33038.776861334125,-16502.764703442357,2954,True,,11.07
2,1,6,0,0,0,0,"(2, 1, 6)","(0, 0, 0, 0)",33023.54669496197,33077.44052733517,33042.95008121756,-16502.773347480987,2954,True,,7.32
4,0,6,0,0,0,0,"(4, 0, 6)","(0, 0, 0, 0)",33024.748070014335,33096.61058580719,33050.62027132748,-16500.374035007168,2954,True,,20.39
1,0,6,0,0,0,0,"(1, 0, 6)","(0, 0, 0, 0)",33026.82519432289,33080.72208116753,33046.22934530775,-16504.412597161445,2954,True,,2.47
2,0,6,0,0,0,0,"(2, 0, 6)","(0, 0, 0, 0)",33028.321033051354,33088.206462878734,33049.88120081231,-16504.160516525677,2954,True,,4.7
