p,d,q,P,D,Q,s,order,seasonal_order,aic,bic,hqic,llf,nobs,converged,error,fit_seconds
5,0,3,1,1,1,24,"(5, 0, 3)","(1, 1, 1, 24)",32188.422588049805,32254.12350667514,32212.095404275286,-16083.211294024903,2930,False,,45.83
5,0,3,0,1,1,24,"(5, 0, 3)","(0, 1, 1, 24)",32198.06779728707,32257.79935162151,32219.589403853195,-16089.033898643534,2930,False,,32.16
2,0,2,0,1,1,24,"(2, 0, 2)","(0, 1, 1, 24)",32204.782950537425,32240.623950321573,32217.696433001754,-16096.391475268712,2930,True,,13.16
2,0,2,1,1,1,24,"(2, 0, 2)","(1, 1, 1, 24)",32206.517404659146,32248.331904407318,32221.58313420086,-16096.258702329573,2930,True,,15.9
2,0,1,0,1,1,24,"(2, 0, 1)","(0, 1, 1, 24)",32214.508829008373,32244.378050888095,32225.27049633171,-16102.254414504187,2930,True,,8.6
2,0,1,1,1,1,24,"(2, 0, 1)","(1, 1, 1, 24)",32216.225914559436,32252.068980815104,32229.139915347438,-16102.112957279718,2930,True,,10.79
1,0,1,0,1,1,24,"(1, 0, 1)","(0, 1, 1, 24)",32231.26225607097,32255.15763357475,32239.87158992964,-16111.631128035486,2930,True,,8.08
1,0,1,1,1,1,24,"(1, 0, 1)","(1, 1, 1, 24)",32233.101632865146,32262.970854744868,32243.86330018848,-16111.550816432573,2930,True,,10.34
5,0,4,0,1,1,24,"(5, 0, 4)","(0, 1, 1, 24)",32557.25601468936,32622.956933314694,32580.92883091484,-16267.62800734468,2930,False,,47.69
5,0,4,1,1,1,24,"(5, 0, 4)","(1, 1, 1, 24)",32557.29370591882,32628.967435328275,32583.118596346616,-16266.64685295941,2930,False,,46.65
6,0,3,1,1,1,24,"(6, 0, 3)","(1, 1, 1, 24)",32656.384314162235,32728.05390635393,32682.20816673592,-16316.192157081117,2930,False,,64.19
5,0,4,1,1,0,24,"(5, 0, 4)","(1, 1, 0, 24)",33235.83355084799,33301.53446947332,33259.50636707347,-16606.916775423993,2930,False,,32.27
5,0,3,1,1,0,24,"(5, 0, 3)","(1, 1, 0, 24)",33236.036652384646,33295.76476022586,33257.557394407806,-16608.018326192323,2930,False,,26.23
2,0,1,1,1,0,24,"(2, 0, 1)","(1, 1, 0, 24)",33241.84655050065,33271.715772380376,33252.60821782399,-16615.923275250327,2930,True,,2.74
2,0,2,1,1,0,24,"(2, 0, 2)","(1, 1, 0, 24)",33243.67854390872,33279.52161016439,33256.592544696716,-16615.83927195436,2930,True,,3.49
6,0,3,0,1,1,24,"(6, 0, 3)","(0, 1, 1, 24)",33244.08985260064,33309.79456236853,33267.76361982338,-16611.04492630032,2930,False,,52.02
1,0,1,1,1,0,24,"(1, 0, 1)","(1, 1, 0, 24)",33274.43933881084,33298.33609348798,33283.049018084734,-16633.21966940542,2930,True,,2.74
6,0,3,0,1,0,24,"(6, 0, 3)","(0, 1, 0, 24)",34050.55168114985,34110.35875935855,34072.09222328756,-17015.275840574926,2930,False,,6.98
5,0,3,0,1,0,24,"(5, 0, 3)","(0, 1, 0, 24)",34117.75157342857,34171.58102126556,34137.13883255809,-17049.875786714285,2930,False,,4.22
5,0,4,0,1,0,24,"(5, 0, 4)","(0, 1, 0, 24)",34123.76343855028,34183.57393614694,34145.304837583084,-17051.88171927514,2930,False,,5.08
6,0,3,1,1,0,24,"(6, 0, 3)","(1, 1, 0, 24)",34224.232640439506,34289.92976661523,34247.90450529872,-17101.116320219753,2930,False,,44.14
2,0,2,0,1,0,24,"(2, 0, 2)","(0, 1, 0, 24)",34241.82138247449,34271.73004890795,34252.59293839172,-17115.910691237244,2930,True,,0.35
2,0,1,0,1,0,24,"(2, 0, 1)","(0, 1, 0, 24)",34251.96250410935,34275.89080360968,34260.58009120594,-17121.981252054677,2930,True,,0.27
1,0,1,0,1,0,24,"(1, 0, 1)","(0, 1, 0, 24)",34277.6303809767,34295.57660560194,34284.09357129914,-17135.81519048835,2930,True,,0.2
